Area,Year,Age,Education,Distribution
Afghanistan,2015,15+,Incomplete Primary,0.07
Afghanistan,2015,15+,Lower Secondary,0.17
Afghanistan,2015,15+,No Education,0.28
Afghanistan,2015,15+,Post Secondary,0.08
Afghanistan,2015,15+,Primary,0.15
Afghanistan,2015,15+,Total,1.00
Afghanistan,2015,15+,Under 15,0.00
Afghanistan,2015,15+,Upper Secondary,0.24
Afghanistan,2015,20--39,Incomplete Primary,0.07
Afghanistan,2015,20--39,Lower Secondary,0.15
Afghanistan,2015,20--39,No Education,0.24
Afghanistan,2015,20--39,Post Secondary,0.11
Afghanistan,2015,20--39,Primary,0.16
Afghanistan,2015,20--39,Total,1.00
Afghanistan,2015,20--39,Under 15,0.00
Afghanistan,2015,20--39,Upper Secondary,0.27
Afghanistan,2015,20--64,Incomplete Primary,0.07
Afghanistan,2015,20--64,Lower Secondary,0.14
Afghanistan,2015,20--64,No Education,0.30
Afghanistan,2015,20--64,Post Secondary,0.10
Afghanistan,2015,20--64,Primary,0.15
Afghanistan,2015,20--64,Total,1.00
Afghanistan,2015,20--64,Under 15,0.00
Afghanistan,2015,20--64,Upper Secondary,0.24
Afghanistan,2015,25+,Incomplete Primary,0.08
Afghanistan,2015,25+,Lower Secondary,0.13
Afghanistan,2015,25+,No Education,0.34
Afghanistan,2015,25+,Post Secondary,0.10
Afghanistan,2015,25+,Primary,0.15
Afghanistan,2015,25+,Total,1.00
Afghanistan,2015,25+,Under 15,0.00
Afghanistan,2015,25+,Upper Secondary,0.20
Afghanistan,2015,40--64,Incomplete Primary,0.09
Afghanistan,2015,40--64,Lower Secondary,0.11
Afghanistan,2015,40--64,No Education,0.41
Afghanistan,2015,40--64,Post Secondary,0.09
Afghanistan,2015,40--64,Primary,0.14
Afghanistan,2015,40--64,Total,1.00
Afghanistan,2015,40--64,Under 15,0.00
Afghanistan,2015,40--64,Upper Secondary,0.17
Afghanistan,2015,60+,Incomplete Primary,0.09
Afghanistan,2015,60+,Lower Secondary,0.07
Afghanistan,2015,60+,No Education,0.54
Afghanistan,2015,60+,Post Secondary,0.06
Afghanistan,2015,60+,Primary,0.12
Afghanistan,2015,60+,Total,1.00
Afghanistan,2015,60+,Under 15,0.00
Afghanistan,2015,60+,Upper Secondary,0.11
Afghanistan,2015,65+,Incomplete Primary,0.09
Afghanistan,2015,65+,Lower Secondary,0.06
Afghanistan,2015,65+,No Education,0.58
Afghanistan,2015,65+,Post Secondary,0.05
Afghanistan,2015,65+,Primary,0.12
Afghanistan,2015,65+,Total,1.00
Afghanistan,2015,65+,Under 15,0.00
Afghanistan,2015,65+,Upper Secondary,0.10
Afghanistan,2015,80+,Incomplete Primary,0.10
Afghanistan,2015,80+,Lower Secondary,0.04
Afghanistan,2015,80+,No Education,0.67
Afghanistan,2015,80+,Post Secondary,0.03
Afghanistan,2015,80+,Primary,0.10
Afghanistan,2015,80+,Total,1.00
Afghanistan,2015,80+,Under 15,0.00
Afghanistan,2015,80+,Upper Secondary,0.06
Afghanistan,2015,All,Incomplete Primary,0.04
Afghanistan,2015,All,Lower Secondary,0.09
Afghanistan,2015,All,No Education,0.16
Afghanistan,2015,All,Post Secondary,0.04
Afghanistan,2015,All,Primary,0.08
Afghanistan,2015,All,Total,1.00
Afghanistan,2015,All,Under 15,0.45
Afghanistan,2015,All,Upper Secondary,0.13
Albania,2015,15+,Incomplete Primary,0.00
Albania,2015,15+,Lower Secondary,0.44
Albania,2015,15+,No Education,0.02
Albania,2015,15+,Post Secondary,0.08
Albania,2015,15+,Primary,0.06
Albania,2015,15+,Total,1.00
Albania,2015,15+,Under 15,0.00
Albania,2015,15+,Upper Secondary,0.39
Albania,2015,20--39,Incomplete Primary,0.00
Albania,2015,20--39,Lower Secondary,0.39
Albania,2015,20--39,No Education,0.01
Albania,2015,20--39,Post Secondary,0.09
Albania,2015,20--39,Primary,0.02
Albania,2015,20--39,Total,1.00
Albania,2015,20--39,Under 15,0.00
Albania,2015,20--39,Upper Secondary,0.49
Albania,2015,20--64,Incomplete Primary,0.00
Albania,2015,20--64,Lower Secondary,0.41
Albania,2015,20--64,No Education,0.01
Albania,2015,20--64,Post Secondary,0.09
Albania,2015,20--64,Primary,0.03
Albania,2015,20--64,Total,1.00
Albania,2015,20--64,Under 15,0.00
Albania,2015,20--64,Upper Secondary,0.46
Albania,2015,25+,Incomplete Primary,0.00
Albania,2015,25+,Lower Secondary,0.38
Albania,2015,25+,No Education,0.02
Albania,2015,25+,Post Secondary,0.10
Albania,2015,25+,Primary,0.07
Albania,2015,25+,Total,1.00
Albania,2015,25+,Under 15,0.00
Albania,2015,25+,Upper Secondary,0.43
Albania,2015,40--64,Incomplete Primary,0.00
Albania,2015,40--64,Lower Secondary,0.43
Albania,2015,40--64,No Education,0.01
