Area,Year,Age,Education,Distribution
Afghanistan,2015,100+,Incomplete Primary,0.10
Afghanistan,2015,100+,Lower Secondary,0.03
Afghanistan,2015,100+,No Education,0.74
Afghanistan,2015,100+,Post Secondary,0.01
Afghanistan,2015,100+,Primary,0.09
Afghanistan,2015,100+,Total,1.00
Afghanistan,2015,100+,Under 15,0.00
Afghanistan,2015,100+,Upper Secondary,0.03
Afghanistan,2015,15--19,Incomplete Primary,0.05
Afghanistan,2015,15--19,Lower Secondary,0.29
Afghanistan,2015,15--19,No Education,0.18
Afghanistan,2015,15--19,Post Secondary,0.01
Afghanistan,2015,15--19,Primary,0.16
Afghanistan,2015,15--19,Total,1.00
Afghanistan,2015,15--19,Under 15,0.00
Afghanistan,2015,15--19,Upper Secondary,0.31
Afghanistan,2015,20--24,Incomplete Primary,0.05
Afghanistan,2015,20--24,Lower Secondary,0.15
Afghanistan,2015,20--24,No Education,0.20
Afghanistan,2015,20--24,Post Secondary,0.10
Afghanistan,2015,20--24,Primary,0.17
Afghanistan,2015,20--24,Total,1.00
Afghanistan,2015,20--24,Under 15,0.00
Afghanistan,2015,20--24,Upper Secondary,0.32
Afghanistan,2015,25--29,Incomplete Primary,0.07
Afghanistan,2015,25--29,Lower Secondary,0.15
Afghanistan,2015,25--29,No Education,0.23
Afghanistan,2015,25--29,Post Secondary,0.12
Afghanistan,2015,25--29,Primary,0.17
Afghanistan,2015,25--29,Total,1.00
Afghanistan,2015,25--29,Under 15,0.00
Afghanistan,2015,25--29,Upper Secondary,0.26
Afghanistan,2015,30--34,Incomplete Primary,0.08
Afghanistan,2015,30--34,Lower Secondary,0.14
Afghanistan,2015,30--34,No Education,0.29
Afghanistan,2015,30--34,Post Secondary,0.11
Afghanistan,2015,30--34,Primary,0.15
Afghanistan,2015,30--34,Total,1.00
Afghanistan,2015,30--34,Under 15,0.00
Afghanistan,2015,30--34,Upper Secondary,0.23
Afghanistan,2015,35--39,Incomplete Primary,0.08
Afghanistan,2015,35--39,Lower Secondary,0.14
Afghanistan,2015,35--39,No Education,0.29
Afghanistan,2015,35--39,Post Secondary,0.12
Afghanistan,2015,35--39,Primary,0.15
Afghanistan,2015,35--39,Total,1.00
Afghanistan,2015,35--39,Under 15,0.00
Afghanistan,2015,35--39,Upper Secondary,0.23
Afghanistan,2015,40--44,Incomplete Primary,0.08
Afghanistan,2015,40--44,Lower Secondary,0.13
Afghanistan,2015,40--44,No Education,0.35
Afghanistan,2015,40--44,Post Secondary,0.10
Afghanistan,2015,40--44,Primary,0.14
Afghanistan,2015,40--44,Total,1.00
Afghanistan,2015,40--44,Under 15,0.00
Afghanistan,2015,40--44,Upper Secondary,0.20
Afghanistan,2015,45--49,Incomplete Primary,0.09
Afghanistan,2015,45--49,Lower Secondary,0.11
Afghanistan,2015,45--49,No Education,0.41
Afghanistan,2015,45--49,Post Secondary,0.09
Afghanistan,2015,45--49,Primary,0.14
Afghanistan,2015,45--49,Total,1.00
Afghanistan,2015,45--49,Under 15,0.00
Afghanistan,2015,45--49,Upper Secondary,0.17
Afghanistan,2015,50--54,Incomplete Primary,0.09
Afghanistan,2015,50--54,Lower Secondary,0.10
Afghanistan,2015,50--54,No Education,0.44
Afghanistan,2015,50--54,Post Secondary,0.07
Afghanistan,2015,50--54,Primary,0.14
Afghanistan,2015,50--54,Total,1.00
Afghanistan,2015,50--54,Under 15,0.00
Afghanistan,2015,50--54,Upper Secondary,0.15
Afghanistan,2015,55--59,Incomplete Primary,0.09
Afghanistan,2015,55--59,Lower Secondary,0.09
Afghanistan,2015,55--59,No Education,0.47
Afghanistan,2015,55--59,Post Secondary,0.07
Afghanistan,2015,55--59,Primary,0.14
Afghanistan,2015,55--59,Total,1.00
Afghanistan,2015,55--59,Under 15,0.00
Afghanistan,2015,55--59,Upper Secondary,0.15
Afghanistan,2015,60--64,Incomplete Primary,0.09
Afghanistan,2015,60--64,Lower Secondary,0.08
Afghanistan,2015,60--64,No Education,0.49
Afghanistan,2015,60--64,Post Secondary,0.07
Afghanistan,2015,60--64,Primary,0.13
Afghanistan,2015,60--64,Total,1.00
Afghanistan,2015,60--64,Under 15,0.00
Afghanistan,2015,60--64,Upper Secondary,0.14
Afghanistan,2015,65--69,Incomplete Primary,0.09
Afghanistan,2015,65--69,Lower Secondary,0.07
Afghanistan,2015,65--69,No Education,0.54
Afghanistan,2015,65--69,Post Secondary,0.07
Afghanistan,2015,65--69,Primary,0.12
Afghanistan,2015,65--69,Total,1.00
Afghanistan,2015,65--69,Under 15,0.00
Afghanistan,2015,65--69,Upper Secondary,0.12
Afghanistan,2015,70--74,Incomplete Primary,0.10
Afghanistan,2015,70--74,Lower Secondary,0.06
Afghanistan,2015,70--74,No Education,0.58
Afghanistan,2015,70--74,Post Secondary,0.05
